FirstName,LastName,Dist,Party,CapOffAdd,CapOffPh,DistOffAdd1,DistOffPh1,DistOffAdd2,DistOffPh2,DistOffAdd3,DistOffPh3
Katcho,Achadjian,35,Republican,"P.O. Box 942849, Room 4098, Sacramento, CA 94249-0035", (916) 319-2035,"1150 Osos Street, Suite 207, San Luis Obispo, CA 93401", (805) 549-3381,,,,
Luis A.,Alejo,30,Democrat,"P.O. Box 942849, Room 2117, Sacramento, CA 94249-0030", (916) 319-2030,"100 West Alisal Street, Suite 134, Salinas, CA 93901", (831) 759-8676,"365 Fourth Street, Hollister, CA 95023", (831) 638-3228,"275 Main Street, Suite 104, Watsonville, CA 95076", (831) 761-7428
Travis,Allen,72,Republican,"P.O. Box 942849, Room 4144, Sacramento, CA 94249-0072", (916) 319-2072,"17011 Beach Blvd, Suite 1120, Huntington Beach, CA 92647", (714) 843-4966,,,,
Tom,Ammiano,17,Democrat,"P.O. Box 942849, Room 3146, Sacramento, CA 94249-0017", (916) 319-2017,"455 Golden Gate Avenue, Suite 14300, San Francisco, CA 94102", (415) 557-3013,,,,
Toni G.,Atkins,78,Democrat,"P.O. Box 942849, Room 219, Sacramento, CA 94249-0078", (916) 319-2078,"1350 Front Street, Suite 6054, San Diego, CA 92101", (619) 645-3090,,,,
Frank,Bigelow,5,Republican,"P.O. Box 942849, Room 6027, Sacramento, CA 94249-0005", (916) 319-2005,"2441 Headington Road, Placerville, CA 95667", (530) 295-5505,"730 North I Street, Suite 102, Madera, CA 93637", (559) 673-0501,"33 C Broadway Jackson, CA 95642", (209) 223-0505
Richard,Bloom,50,Democrat,"P.O. Box 942849, Room 2179, Sacramento, CA 94249-0050", (916) 319-2050,"2800 28th Street, Suite 150, Santa Monica, CA 90405", (310) 450-0041,,,,
Raul,Bocanegra,39,Democrat,"P.O. Box 942849, Room 4126, Sacramento, CA 94249-0039", (916) 319-2039,"9300 Laurel Canyon Blvd., First Floor, Arleta, CA 91331-4314", (818) 504-3911,,,,
Susan,Bonilla,14,Democrat,"P.O. Box 942849, Room 4140, Sacramento, CA 94249-0014", (916) 319-2014,"2151 Salvio Street, Suite 395, Concord, CA 94520", (925) 521-1511,,,,
Rob,Bonta,18,Democrat,"P.O. Box 942849, Room 6025, Sacramento, CA 94249-0018", (916) 319-2018,"1515 Clay Street, Suite 2204, Oakland, CA 94612", (510) 286-1670,,,,
Steven,Bradford,62,Democrat,"P.O. Box 942849, Room 5136, Sacramento, CA 94249-0062", (916) 319-2062,"One Manchester Blvd, Suite 601, Inglewood, CA 90301", (310) 412-6400,,,,
Cheryl R.,Brown,47,Democrat,"P.O. Box 942849, Room 2196, Sacramento, CA 94249-0047", (916) 319-2047,"290 North D Street, Suite 903, San Bernardino, CA 92401", (909) 381-3238,"8353 Sierra Avenue, Fontana, CA 92335", (909) 350-7646,,
Joan,Buchanan,16,Democrat,"P.O. Box 942849, Room 2148, Sacramento, CA 94249-0016", (916) 319-2016,"2694 Bishop Dr., Suite 275, San Ramon, CA 94583", (925) 328-1515,,,,
Ian C.,Calderon,57,Democrat,"P.O. Box 942849, Room 5150, Sacramento, CA 94249-0057", (916) 319-2057,"13181 Crossroads Parkway, Suite 160, City of Industry, CA 91746-3497", (562) 692-5858,,,,
Nora,Campos,27,Democrat,"P.O. Box 942849, Room 3160, Sacramento, CA 94249-0027", (916) 319-2027,"100 Paseo De San Antonio, Suite 319, San Jose, CA 95113", (408) 277-1220,,,,
Ed,Chau,49,Democrat,"P.O. Box 942849, Room 6011, Sacramento, CA 94249-0049", (916) 319-2049,"1255 Corporate Center Drive, Suite 306, Monterery Park, CA 91754", (323) 264-4949,,,,
Rocky J.,Chavez,76,Republican,"P.O. Box 942849, Room 2170, Sacramento, CA 94249-0076", (916) 319-2076,"1910 Palomar Point Way, Suite 106, Carlsbad, CA 92008", (760) 929-7998,,,,
Wesley,Chesbro,2,Democrat,"P.O. Box 942849, Room 2141, Sacramento, CA 94249-0002", (916) 319-2002,"50 D Street, Suite 450, Santa Rosa, CA 95404", (707) 576-2526,"710 E Street, Suite 150, Eureka, CA 95501", (707) 445-7014,"200 S School Street, Suite D, Ukiah, CA 95482", (707) 463-5770
Connie,Conway,26,Republican,"P.O. Box 942849, Room 3104, Sacramento, CA 94249-0026", (916) 319-2026,"113 North Church Street, Suite 505, Visalia, CA 93291", (559) 636-3440,,,,
Ken,Cooley,8,Democrat,"P.O. Box 942849, Room 2188, Sacramento, CA 94249-0008", (916) 319-2008,"2729 Prospect Park Drive, Suite 130, Rancho Cordova, CA 95670", (916) 464-1910,,,,
Matthew,Dababneh,45,Democrat,"P.O. Box 942849, Room 5144, Sacramento, CA 94249-0045", (916) 319-2045,"6150 Van Nuys Blvd, Suite 306, Van Nuys, CA 91401", (818) 904-3840,,,,
Brian,Dahle,1,Republican,"P.O. Box 942849, Room 2174, Sacramento, CA 94249-0001", (916) 319-2001,"280 Hemsted Drive, Suite 110, Redding, CA 96002", (530) 223-6300,,,,
Tom,Daly,69,Democrat,"P.O. Box 942849, Room 4166, Sacramento, CA 94249-0069", (916) 319-2069,"2400 East Katella Avenue, Suite 640,  Anaheim, CA 92806", (714) 939-8469,,,,
Roger,Dickinson,7,Democrat,"P.O. Box 942849, Room 2013, Sacramento, CA 94249-0007", (916) 319-2007,"915 L Street, Suite 110, Sacramento, CA 95814", (916) 324-4676,,,,
Tim,Donnelly,33,Republican,"P.O. Box 942849, Room 2002, Sacramento, CA 94249-0033", (916) 319-2033,"15900 Smoketree Street Suite 100, Hesperia, CA 92345", (760) 244-5277,,,,
